Surname,First Names,Age,Boarded,Class,Sex,Status
Fortune,Mr Mark,64,Southampton,1st,Male,Dead
Fortune,Mr Charles Alexander,19,Southampton,1st,Male,Dead
Fortune,Mrs Mary,60,Southampton,1st,Female,Alive
Fortune,Miss Ethel Flora,28,Southampton,1st,Female,Alive
Fortune,Miss Mabel Helen,23,Southampton,1st,Female,Alive
Fox,Mr Patrick,28,Queenstown,3rd,Male,Dead
Fox,Mr Stanley Harrington,38,Southampton,2nd,Male,Dead
Francatelli,Miss Laura Mabel (Secretary to Lady Duff-Gordon),31,Cherbourg,1st,Female,Alive
Franklin,Mr Thomas Parnham,37,Southampton,1st,Male,Dead
Frauenthal,Mrs Clara,42,Southampton,1st,Female,Alive
Frauenthal,Dr Henry William,49,Southampton,1st,Female,Alive
Frauenthal,Mr Isaac Gerald,43,Cherbourg,1st,Male,Alive
Frost,Mr Anthony Wood,38,Belfast,2nd,Male,Dead
Fry,Mr Richard (Valet to Mr Joseph Bruce Ismay),39,Southampton,1st,Male,Dead
Frölicher,Miss Hedwig Margaritha,22,Cherbourg,1st,Female,Alive
Frölicher-Stehli,Mr Maximilian Josef,60,Cherbourg,1st,Male,Alive
Frölicher-Stehli,Mrs Margaretha Emerentia,48,Cherbourg,1st,Female,Alive
Funk,Miss Annie Clemmer,38,Southampton,2nd,Female,Dead
Futrelle,Mr Jacques Heath,37,Southampton,1st,Male,Dead
Futrelle,Mrs Lily May,35,Southampton,1st,Female,Alive
Fynney,Mr Joseph J.,35,Southampton,2nd,Male,Dead
Gale,Mr Harry,38,Southampton,2nd,Male,Dead
Gale,Mr Shadrach,33,Southampton,2nd,Male,Dead
Gallagher,Mr Martin,29,Queenstown,3rd,Male,Dead
Garfirth,Mr John,21,Southampton,3rd,Male,Dead
Garside,Miss Ethel,39,Southampton,2nd,Female,Alive
Gaskell,Mr William Alfred,19,Southampton,2nd,Male,Dead
Gavey,Mr Laurence,26,Southampton,2nd,Male,Dead
Gee,Mr Arthur H.,47,Southampton,1st,Male,Dead
George/Joseph,Mrs Shawneene,38,Cherbourg,3rd,Female,Alive
Gerios Thamah,Mr Assaf,21,Cherbourg,3rd,Male,Dead
Gheorgheff,Mr Stanio,NK,Cherbourg,3rd,Male,Dead
Gibson,Miss Dorothy Winifred,22,Cherbourg,1st,Female,Alive
Gibson,Mrs Pauline Caroline,44,Cherbourg,1st,Female,Alive
Gieger,Miss Amalie (Maid to Mrs George Dunton Widener),35,Southampton,1st,Female,Alive
Giglio,Mr Victor Gaitan Andrea (Valet to Mr Benjamin Guggenheim),23,Cherbourg,1st,Male,Dead
Gilbert,Mr William,47,Southampton,2nd,Male,Dead
Giles,Mr Edgar,21,Southampton,2nd,Male,Dead
Giles,Mr Frederick Edward,20,Southampton,2nd,Male,Dead
Giles,Mr Ralph,24,Southampton,2nd,Male,Dead
Gilinski,Mr Eliezer,22,Southampton,3rd,Male,Dead
Gill,Mr John,24,Southampton,2nd,Male,Dead
Gillespie,Mr William Henry,31,Southampton,2nd,Male,Dead
Gilnagh,Miss Katherine,17,Queenstown,3rd,Female,Alive
Givard,Mr Hans Kristensen,30,Southampton,2nd,Male,Dead
Glynn,Miss Mary Agatha,19,Queenstown,3rd,Female,Alive
Goldenberg,Mrs Nella,40,Cherbourg,1st,Female,Alive
Goldenberg,Mr Samuel L.,47,Cherbourg,1st,Male,Alive
Goldschmidt,Mr George B.,71,Cherbourg,1st,Male,Dead
Goldsmith,Master Frank John William,9,Southampton,3rd,Male,Alive
Goldsmith,Mrs Emily Alice,31,Southampton,3rd,Female,Alive
Goldsmith,Mr Nathan,41,Southampton,3rd,Male,Dead
Goldsmith,Mr Frank John,33,Southampton,3rd,Male,Dead
Goodwin,Miss Jessie Allis,10,Southampton,3rd,Female,Dead
Goodwin,Master William Frederick,11,Southampton,3rd,Male,Dead
Goodwin,Mr Charles Edward,14,Southampton,3rd,Male,Dead
Goodwin,Mr Frederick Joseph,42,Southampton,3rd,Male,Dead
Goodwin,Miss Lillian Amy,16,Southampton,3rd,Female,Dead
Goodwin,Master Harold Victor,9,Southampton,3rd,Male,Dead
Goodwin,Mrs Augusta,43,Southampton,3rd,Female,Dead
Goodwin,Master Sidney Leslie,1,Southampton,3rd,Male,Dead
Gracie,Colonel Archibald,53,Southampton,1st,Female,Alive
Graham,Mr George Edward,38,Southampton,1st,Male,Dead
Graham,Mrs Edith,59,Southampton,1st,Female,Alive
Graham,Miss Margaret Edith,19,Southampton,1st,Female,Alive
Green,Mr George,40,Southampton,3rd,Male,Dead
Greenberg,Mr Samuel,52,Southampton,2nd,Male,Dead
Greenfield,Mr William Bertram,23,Cherbourg,1st,Male,Alive
Greenfield,Mrs Blanche,45,Cherbourg,1st,Female,Alive
Grønnestad,Mr Daniel Danielsen,32,Southampton,3rd,Male,Dead
Guest,Mr Robert,23,Southampton,3rd,Male,Dead
Guggenheim,Mr Benjamin,46,Cherbourg,1st,Male,Dead
Gustafsson,Mr Alfred Ossian,19,Southampton,3rd,Male,Dead
Gustafsson,Mr Karl Gideon,19,Southampton,3rd,Male,Dead
Gustafsson,Mr Johan Birger,28,Southampton,3rd,Male,Dead
Gustafsson,Mr Anders Vilhelm,37,Southampton,3rd,Male,Dead
Haas,Miss Aloisia,24,Southampton,3rd,Female,Dead
Hagland,Mr Konrad Mathias Reiersen,19,Southampton,3rd,Male,Dead
Hagland,Mr Ingvald Olai Olsen,28,Southampton,3rd,Male,Dead
Hakkarainen,Mr Pekka Pietari,28,Southampton,3rd,Male,Dead
Hakkarainen,Mrs Elin Matilda,24,Southampton,3rd,Female,Alive
Hale,Mr Reginald,30,Southampton,2nd,Male,Dead
Hampe,Mr Léon Jérome,19,Southampton,3rd,Male,Dead
Hanna,Mr Mansour,35,Cherbourg,3rd,Male,Dead
Hanna,Mr Boulos,18,Cherbourg,3rd,Male,Dead
Hannah,Mr Borak,27,Cherbourg,3rd,Male,Alive
Hansen,Mr Claus Peter,41,Southampton,3rd,Male,Dead
Hansen,Mr Henrik Juul,26,Southampton,3rd,Male,Dead
Hansen,Mr Henry Damsgaard,21,Southampton,3rd,Male,Dead
Hansen,Mrs Jennie Louise,45,Southampton,3rd,Female,Alive
Harbeck,Mr William H.,44,Southampton,2nd,Male,Dead
Harder,Mr George Achilles,25,Cherbourg,1st,Male,Alive
Harder,Mrs Dorothy,21,Cherbourg,1st,Female,Alive
Hargadon,Miss Catherine,17,Queenstown,3rd,Female,Dead
Harknett,Miss Alice Phoebe,21,Southampton,3rd,Female,Dead
Harper,Mrs Myra Raymond,49,Cherbourg,1st,Female,Alive
Harper,Reverend John,39,Southampton,2nd,Female,Dead
Harper,Miss Annie Jessie,6,Southampton,2nd,Female,Alive
Harper,Mr Henry Sleeper,48,Cherbourg,1st,Male,Alive
Harrington,Mr Charles Henry (Manservant to Mr Clarence Bloomfield Moore),37,Southampton,1st,Male,Dead
Harris,Mr Henry Birkhardt,45,Southampton,1st,Male,Dead
Harris,Mrs Irene,35,Southampton,1st,Female,Alive
Harris,Mr George,62,Southampton,2nd,Male,Alive
Harris,Mr Walter,44,Southampton,2nd,Male,Dead
Harrison,Mr William Henry (Private secretary to Mr Joseph Bruce Ismay),45,Southampton,1st,Male,Dead
Hart,Mr Henry,28,Queenstown,3rd,Male,Dead
Hart,Miss Eva Miriam,7,Southampton,2nd,Female,Alive
Hart,Mrs Esther Ada,48,Southampton,2nd,Female,Alive
Hart,Mr Benjamin,47,Southampton,2nd,Male,Dead
Hartley,Mr Wallace Henry,33,Southampton,2nd,Male,Dead
Hassab,Mr Hammad (Interpreter to Mr Henry Sleeper Harper),27,Cherbourg,1st,Male,Alive
Hawksford,Mr Walter James,45,Southampton,1st,Male,Alive
Hays,Miss Margaret Bechstein,24,Cherbourg,1st,Female,Alive
Hays,Mrs Clara Jennings,52,Southampton,1st,Female,Alive
Hays,Mr Charles Melville,55,Southampton,1st,Male,Dead
Head,Mr Christopher,42,Southampton,1st,Male,Dead
Healy,Miss Honor,29,Queenstown,3rd,Female,Alive
Hedman,Mr Oskar Arvid,27,Southampton,3rd,Male,Alive
Hee,Mr Ling,24,Southampton,3rd,Male,Alive
Hegarty,Miss Hanora,18,Queenstown,3rd,Female,Dead
Heikkinen,Miss Laina,26,Southampton,3rd,Female,Dead
Heininen,Miss Wendla Maria,23,Southampton,3rd,Female,Dead
Hellström,Miss Hilda Maria,22,Southampton,3rd,Female,Alive
Hendekovic,Mr Ignjac,28,Southampton,3rd,Male,Dead
Henriksson,Miss Jenny Lovisa,28,Southampton,3rd,Female,Dead
Henry,Miss Bridget Delia,21,Queenstown,3rd,Female,Dead
Herman,Mrs Jane,48,Southampton,2nd,Female,Alive
Herman,Miss Alice,23,Southampton,2nd,Female,Alive
Herman,Miss Kate,23,Southampton,2nd,Female,Alive
Herman,Mr Samuel,49,Southampton,2nd,Male,Dead
Hewlett,Mrs Mary Dunbar,56,Southampton,2nd,Female,Alive
Hickman,Mr Lewis,30,Southampton,2nd,Male,Dead
Hickman,Mr Stanley George,20,Southampton,2nd,Male,Dead
Hickman,Mr Leonard Mark,24,Southampton,2nd,Male,Dead
Hilliard,Mr Herbert Henry,44,Southampton,1st,Male,Dead
Hiltunen,Miss Marta,18,Southampton,2nd,Female,Dead
Hipkins,Mr William Edward,55,Southampton,1st,Male,Dead
Hippach,Mrs Ida Sophia,44,Cherbourg,1st,Female,Alive
Hippach,Miss Jean Gertrude,17,Cherbourg,1st,Female,Alive
Hirvonen,Miss Hildur Elisabeth,2,Southampton,3rd,Female,Alive
Hirvonen,Mrs Helga Elisabeth Lindqvist,22,Southampton,3rd,Female,Alive
Hocking,Mr Samuel James Metcalfe,36,Southampton,2nd,Male,Dead
Hocking,Miss Ellen,20,Southampton,2nd,Female,Alive
Hocking,Mrs Eliza,54,Southampton,2nd,Female,Alive
Hocking,Mr Richard George,23,Southampton,2nd,Male,Dead
Hodges,Mr Henry Price,50,Southampton,2nd,Male,Dead
Hogeboom,Mrs Anna Louisa,51,Cherbourg,1st,Female,Alive
Hold,Mrs Annie Margaret,29,Southampton,2nd,Female,Alive
Hold,Mr Stephen,44,Southampton,2nd,Male,Dead
Holm,Mr John Fredrik Alexander,43,Southampton,3rd,Male,Dead
Holthen,Mr Johan Martin,28,Southampton,3rd,Male,Dead
Holverson,Mr Alexander Oskar,42,Southampton,1st,Male,Dead
Holverson,Mrs Mary Aline,35,Southampton,1st,Female,Alive
Homer,Mr Harry,40,Southampton,1st,Male,Alive
Honkanen,Miss Eliina,27,Southampton,3rd,Female,Dead
Hood,Mr Ambrose Jr,21,Southampton,2nd,Male,Dead
Horgan,Mr John,22,Queenstown,3rd,Male,Dead
Hosono,Mr Masabumi,41,Southampton,2nd,Male,Alive
Howard,Mrs Ellen Truelove,61,Southampton,2nd,Female,Dead
Howard,Mr Benjamin,63,Southampton,2nd,Male,Dead
Howard,Miss May Elizabeth,26,Southampton,3rd,Female,Alive
Hoyt,Mr Frederick Maxfield,38,Southampton,1st,Male,Alive
Hoyt,Mrs Jane Anne,31,Southampton,1st,Female,Alive
Hoyt,Mr William Fisher,42,Cherbourg,1st,Male,Alive
Humblen,Mr Adolf Mathias Nicolai Olsen,42,Southampton,3rd,Male,Dead
Hume,Mr John Law,21,Southampton,2nd,Male,Dead
Hunt,Mr George Henry,33,Southampton,2nd,Male,Dead
Hyman,Mr Abraham Joseph,34,Southampton,3rd,Male,Alive
Hämäläinen,Mrs Anna,23,Southampton,2nd,Female,Alive
Hämäläinen,Master Viljo Unto Johannes,7m,Southampton,2nd,Male,Alive
Ibrahim Shawah,Mr Yousseff,33,Cherbourg,3rd,Male,Dead
Ibrāh īm,Mr Husayn Mahmūd Husayn,11,Cherbourg,3rd,Male,Dead
Ibrāhīm,Mrs Sāfiyah,18,Cherbourg,3rd,Female,Alive
Icard,Miss Rose Amélie (Maid to Mrs George Nelson Stone),39,Southampton,1st,Female,Alive
Ilett,Miss Bertha,17,Southampton,2nd,Female,Dead
Ilieff,Mr Ylio,32,Southampton,3rd,Male,Dead
Ilmakangas,Miss Ida Livija,27,Southampton,3rd,Female,Dead
Ilmakangas,Miss Pieta Sofia,25,Southampton,3rd,Female,Dead
Isham,Miss Ann Elizabeth,50,Cherbourg,1st,Female,Dead
Ismay,Mr Joseph Bruce,49,Southampton,1st,Male,Alive
Ivanoff,Mr Kanio,20,Southampton,3rd,Male,Dead
Jabbur (Zabour),Miss Hileni,16,Cherbourg,3rd,Female,Dead
Jabbur (Zabour),Miss Thamine,19,Cherbourg,3rd,Female,Dead
Jacobsohn,Mr Sidney Samuel,42,Southampton,2nd,Male,Dead
Jacobsohn,Mrs Amy Frances Christy,24,Southampton,2nd,Female,Alive
Jalševac,Mr Ivan,29,Cherbourg,3rd,Male,Alive
Jansson,Mr Carl Olof,21,Southampton,3rd,Male,Alive
Jardim,Mr José Neto,21,Southampton,3rd,Male,Dead
Jarvis,Mr Denzil John,47,Southampton,2nd,Male,Dead
Jefferys,Mr Clifford Thomas,24,Southampton,2nd,Male,Dead
Jefferys,Mr Ernest Wilfred,22,Southampton,2nd,Male,Dead
Jenkin,Mr Stephen Curnow,32,Southampton,2nd,Male,Dead
Jensen,Mr Niels Rasmus,48,Southampton,3rd,Male,Dead
Jensen,Mr Hans Peder,20,Southampton,3rd,Male,Dead
Jensen,Mr Svend Lauritz,17,Southampton,3rd,Male,Dead
Jermyn,Miss Annie Jane,26,Queenstown,3rd,Female,Alive
Jerwan,Mrs Marie Marthe,23,Cherbourg,2nd,Female,Alive
Johannesen,Mr Bernt Johannes,29,Southampton,3rd,Male,Alive
Johanson,Mr Jakob Alfred,34,Southampton,3rd,Male,Dead
Johansson,Mr Karl Johan,31,Southampton,3rd,Male,Dead
Johansson,Mr Nils,29,Southampton,3rd,Male,Dead
Johansson,Mr Erik,22,Southampton,3rd,Male,Dead
Johansson,Mr Gustaf Joel,33,Southampton,3rd,Male,Dead
Johansson Palmquist,Mr Oskar Leander,26,Southampton,3rd,Male,Alive
Johnson,Miss Eleanor Ileen,1,Southampton,3rd,Female,Alive
Johnson,Master Harold Theodor,4,Southampton,3rd,Male,Alive
Johnson,Mrs Elisabeth Vilhelmina,26,Southampton,3rd,Female,Alive
Johnson,Mr August,49,Southampton,3rd,Male,Dead
Johnson,Mr Malkolm Joackim,33,Southampton,3rd,Male,Dead
Johnson,Mr William Cahoone Jr.,19,Southampton,3rd,Male,Dead
Johnston,Miss Catherine Nellie,7,Southampton,3rd,Female,Dead
Johnston,Mrs Eliza,36,Southampton,3rd,Female,Dead
Johnston,Mr Andrew Emslie,35,Southampton,3rd,Male,Dead
Johnston,Master William Andrew,8,Southampton,3rd,Male,Dead
Jones,Mr Charles Cresson,46,Southampton,1st,Male,Dead
Jonkoff,Mr Lalio,23,Southampton,3rd,Male,Dead
Jonsson,Mr Carl,25,Southampton,3rd,Male,Alive
Joseph (Shahin),Mr Elias,39,Cherbourg,3rd,Male,Dead
Julian,Mr Henry Forbes,50,Southampton,1st,Male,Dead
Jussila,Mr Eiriik,32,Southampton,3rd,Male,Alive
Jussila,Miss Mari Aina,21,Southampton,3rd,Female,Dead
Jussila,Miss Katriina,20,Southampton,3rd,Female,Dead
Jönsson,Mr Nils Hilding,27,Southampton,3rd,Male,Dead
Kallio,Mr Nikolai Erland,17,Southampton,3rd,Male,Dead
Kalvik,Mr Johannes Halvorsen,21,Southampton,3rd,Male,Dead
Kantor,Mr Sinai,34,Southampton,2nd,Male,Dead
Kantor,Mrs Miriam,24,Southampton,2nd,Female,Alive
Karajic,Mr Milan,30,Southampton,3rd,Male,Dead
Karlsson,Mr Einar Gervasius,21,Southampton,3rd,Male,Alive
Karlsson,Mr Nils August,22,Southampton,3rd,Male,Dead
Karlsson,Mr Julius Konrad Eugen,33,Southampton,3rd,Male,Dead
Karnes,Mrs Claire,28,Southampton,2nd,Female,Dead
Karun,Miss Manca,4,Cherbourg,3rd,Female,Alive
Karun,Mr Franz,39,Cherbourg,3rd,Male,Alive
Katavelos,Mr Vasilios G.,19,Cherbourg,3rd,Male,Dead
Keane,Mr Daniel,35,Queenstown,2nd,Male,Dead
Keane,Mr Andrew,23,Queenstown,3rd,Male,Dead
Keane,Miss Nora Agnes,46,Queenstown,2nd,Female,Alive
Keefe,Mr Arthur,39,Southampton,3rd,Male,Dead
Keeping,Mr Edwin Herbert (Manservant to Mr & Mrs Widener),33,Southampton,1st,Male,Dead
Kelly,Miss Anna Katherine,20,Queenstown,3rd,Female,Alive
Kelly,Miss Mary,22,Queenstown,3rd,Female,Alive
Kelly,Mrs Fanny Maria,45,Southampton,2nd,Female,Alive
Kelly,Mr James,44,Queenstown,3rd,Male,Dead
Kelly,Mr James,19,Southampton,3rd,Male,Dead
Kennedy,Mr John,24,Queenstown,3rd,Male,Dead
Kent,Mr Edward Austin,58,Cherbourg,1st,Male,Dead
Kenyon,Mr Frederick Roland,41,Southampton,1st,Male,Dead
Kenyon,Mrs Marion Estelle,40,Southampton,1st,Female,Alive
Khalil,Mr Betros,25,Cherbourg,3rd,Male,Dead
Khalil,Mrs Zahie,20,Cherbourg,3rd,Female,Dead
Kiernan,Mr John Joseph,25,Queenstown,3rd,Male,Dead
Kiernan,Mr Philip,22,Queenstown,3rd,Male,Dead
Kilgannon,Mr Thomas,22,Queenstown,3rd,Male,Dead
Kimball,Mr Edwin Nelson Jr.,42,Southampton,1st,Male,Alive
Kimball,Mrs Susan Gertrude,45,Southampton,1st,Female,Alive
Kink,Mr Vincenz,26,Southampton,3rd,Male,Dead
Kink,Mr Anton,29,Southampton,3rd,Male,Alive
Kink,Miss Maria,22,Southampton,3rd,Female,Dead
Kink-Heilmann,Mrs Luise,26,Southampton,3rd,Female,Alive
Kink-Heilmann,Miss Luise Gretchen,4,Southampton,3rd,Female,Alive
Kirkland,Father Charles Leonard,52,Queenstown,2nd,Female,Dead
Klaber,Mr Herman,41,Southampton,1st,Male,Dead
Klasén,Mrs Hulda Kristina Eugenia,36,Southampton,3rd,Female,Dead
Klasén,Mr Klas Albin,18,Southampton,3rd,Male,Dead
Klasén,Miss Gertrud Emilia,1,Southampton,3rd,Female,Dead
Knight,Mr Robert,39,Belfast,2nd,Male,Dead
Kraeff,Mr Theodor,NK,Cherbourg,3rd,Male,Dead
Krekorian,Mr Neshan,25,Cherbourg,3rd,Male,Alive
Kreuchen,Miss Emilie (Maid to Mrs Edward Scott Robert),29,Southampton,1st,Female,Alive
Krins,Mr Georges Alexandre,23,Southampton,2nd,Male,Dead
Kutscher (Lithman),Mr Simon,26,Southampton,3rd,Male,Dead
Kvillner,Mr Johan Henrik Johannesson,31,Southampton,2nd,Male,Dead
Lahhūd Ishaq Mu’Awwad,MrSark īs,30,Cherbourg,3rd,Female,Dead
Lahtinen,Father William,35,Southampton,2nd,Female,Dead
Lahtinen,Mrs Anna Amelia,34,Southampton,2nd,Female,Dead
Laitinen,Miss Kristina Sofia,37,Southampton,3rd,Female,Dead
Lam,Mr Len,23,Southampton,3rd,Male,Dead
Lam,Mr Ali,38,Southampton,3rd,Male,Alive
Lamb,Mr John J.,30,Queenstown,2nd,Male,Dead
Landergren,Miss Aurora Adelia,22,Southampton,3rd,Female,Alive
Lane,Mr Patrick,16,Queenstown,3rd,Male,Dead
Lang,Mr Fang,32,Southampton,3rd,Male,Alive
Laroche,Mr Joseph Philippe Lemercier,25,Cherbourg,2nd,Male,Dead
Laroche,Mrs Juliette Marie Louise,22,Cherbourg,2nd,Female,Alive
Laroche,Miss Simonne Marie Anne Andrée,3,Cherbourg,2nd,Female,Alive
Laroche,Miss Louise,1,Cherbourg,2nd,Female,Alive
Larsson,Mr August Viktor,29,Southampton,3rd,Male,Dead
Larsson,Mr Bengt Edvin,29,Southampton,3rd,Male,Dead
Larsson,Mr Edvard,22,Southampton,3rd,Male,Dead
Leader,Dr Alice May,49,Southampton,1st,Female,Alive
Lefebvre,Miss Ida,3,Southampton,3rd,Female,Dead
Lefebvre,Mrs Frances Marie,40,Southampton,3rd,Female,Dead
Lefebvre,Miss Mathilde,12,Southampton,3rd,Female,Dead
Lefebvre,Miss Jeannie,8,Southampton,3rd,Female,Dead
Lefebvre,Master Henry,5,Southampton,3rd,Male,Dead
Lehmann,Miss Bertha,17,Cherbourg,2nd,Female,Alive
Leinonen,Mr Antti Gustaf,32,Southampton,3rd,Male,Dead
Leitch,Miss Jessie Wills,31,Southampton,2nd,Female,Alive
Lemore,Mrs Amelia,46,Southampton,2nd,Female,Alive
Lennon,Mr Denis,20,Queenstown,3rd,Male,Dead
Leroy,Miss Berthe (Maid to Mrs Walter Donald Douglas),27,Cherbourg,1st,Female,Alive
Lester,Mr James,26,Southampton,3rd,Male,Dead
Lesueur,Mr Gustave J. (Manservant to Mr Thomas Cardeza),35,Cherbourg,1st,Male,Alive
Lewy,Mr Ervin G.,30,Cherbourg,1st,Male,Dead
Leyson,Mr Robert William Norman,25,Southampton,2nd,Male,Dead
Lievens,Mr René Aimé,24,Southampton,3rd,Male,Dead
Lindahl,Miss Agda Thorilda Viktoria,25,Southampton,3rd,Female,Dead
Lindblom,Miss Augusta Charlotta,45,Southampton,3rd,Female,Dead
Lindeberg-Lind,Mr Erik Gustaf,42,Southampton,1st,Male,Dead
Lindell,Mrs Elin Gerda,30,Southampton,3rd,Female,Alive
Lindell,Mr Edvard Bengtsson,36,Southampton,3rd,Male,Alive
Lindqvist,Mr Eino William,20,Southampton,3rd,Male,Alive
Lindström,Mrs Sigrid,55,Cherbourg,1st,Female,Alive
Linehan,Mr Michael,21,Queenstown,3rd,Male,Dead
Lines,Mrs Elizabeth Lindsey,50,Cherbourg,1st,Female,Alive
Lines,Miss Mary Conover,16,Cherbourg,1st,Female,Alive
Ling,Mr Lee,28,Southampton,3rd,Male,Dead
Lingane,Mr John,61,Queenstown,2nd,Male,Dead
Linhart,Mr Wenzel,27,Southampton,3rd,Male,Dead
Livshin,Mr David,25,Southampton,3rd,Male,Alive
Lobb,Mrs Cordelia K.,26,Southampton,3rd,Female,Dead
Lobb,Mr William Arthur,30,Southampton,3rd,Male,Dead
Lockyer,Mr Edward Thomas,19,Southampton,3rd,Male,Dead
Long,Mr Milton Clyde,29,Southampton,1st,Male,Dead
Longley,Miss Gretchen Fiske,21,Cherbourg,1st,Female,Alive
Loring,Mr Joseph Holland,30,Southampton,1st,Male,Dead
Louch,Mrs Alice Adelaide,42,Southampton,2nd,Female,Dead
Louch,Mr Charles,50,Southampton,2nd,Male,Dead
Lovell,Mr John Hall,20,Southampton,3rd,Male,Dead
Lulic,Mr Nikola,29,Southampton,3rd,Male,Alive
Lundahl,Mr Johan Svensson,51,Southampton,3rd,Male,Dead
Lundin,Miss Olga Elida,23,Southampton,3rd,Female,Alive
Lundström,Mr Thure Edvin,32,Southampton,3rd,Male,Alive
Lurette,Miss Eugénie Elise (Maid to Mr & Mrs Spencer),59,Cherbourg,1st,Female,Alive
Lymperopoulus,Mr Panagiotis K.,30,Cherbourg,3rd,Male,Dead
Lyntakoff,Mr Stanko,44,Southampton,3rd,Male,Dead
Lévy,Mr René Jacques,36,Southampton,2nd,Male,Dead
Mack,Mrs Mary,57,Southampton,2nd,Female,Dead
Mackay,Mr George William,20,Southampton,3rd,Male,Dead
Madigan,Miss Margaret,21,Queenstown,3rd,Female,Alive
Madill,Miss Georgette Alexandra,16,Southampton,1st,Female,Alive
Madsen,Mr Fridtjof Arne,24,Southampton,3rd,Male,Alive
Maguire,Mr John Edward,30,Southampton,1st,Male,Dead
Mahon,Miss Bridget Delia,20,Queenstown,3rd,Female,Dead
Maioni,Miss Roberta Elizabeth Mary (Maid to the Countess of Rothes),19,Southampton,1st,Female,Alive
Maisner,Mr Simon,34,Southampton,3rd,Male,Dead
Malachard,Mr Jean-Noël,25,Cherbourg,2nd,Male,Dead
Mallet,Mr Albert Denis Pierre,45,Cherbourg,2nd,Male,Dead
Mallet,Mrs Antonine Marie,24,Cherbourg,2nd,Female,Alive
Mallet,Master André Clement,1,Cherbourg,2nd,Male,Alive
Mangan,Miss Mary,32,Queenstown,3rd,Female,Dead
Mangiavacchi,Mr Serafino Emilio,30,Cherbourg,2nd,Male,Dead
Mannion,Miss Margaret,28,Queenstown,3rd,Female,Alive
Mardirosian,Mr Sarkis,25,Cherbourg,3rd,Male,Dead
Marinko,Mr Dmitri,23,Southampton,3rd,Male,Dead
Markoff,Mr Marin,35,Southampton,3rd,Male,Dead
Markun,Mr Johann,33,Cherbourg,3rd,Male,Dead
Marvin,Mrs Mary Graham Carmichael,18,Southampton,1st,Female,Alive
Marvin,Mr Daniel Warner,18,Southampton,1st,Male,Dead
Maréchal,Mr Pierre,29,Cherbourg,1st,Male,Alive
Matinoff,Mr Nicola,30,Cherbourg,3rd,Male,Dead
Matthews,Mr William John,23,Southampton,2nd,Male,Dead
Maybery,Mr Frank Hubert,36,Southampton,2nd,Male,Dead
Mayné,Mlle Berthe Antonine,24,Cherbourg,1st,Female,Alive
McCaffry,Mr Thomas Francis,46,Southampton,1st,Male,Dead
McCarthy,Miss Catherine,24,Queenstown,3rd,Female,Alive
McCarthy,Mr Timothy J.,54,Southampton,1st,Male,Dead
McCormack,Mr Thomas Joseph,19,Queenstown,3rd,Male,Dead
McCoy,Miss Agnes,29,Queenstown,3rd,Female,Alive
McCoy,Miss Alice,26,Queenstown,3rd,Female,Alive
McCoy,Mr Bernard,24,Queenstown,3rd,Male,Alive
McCrae,Mr Arthur Gordon,32,Southampton,2nd,Male,Dead
McCrie,Mr James Matthew,32,Southampton,2nd,Male,Dead
McDermott,Miss Bridget Delia,31,Queenstown,3rd,Female,Alive
McEvoy,Mr Michael,19,Queenstown,3rd,Male,Dead
McGough,Mr James Robert,35,Southampton,1st,Male,Alive
McGovern,Ms Mary,22,Queenstown,3rd,Female,Alive
McGowan,Miss Anna Louise,17,Queenstown,3rd,Female,Dead
McGowan,Miss Catherine,42,Queenstown,3rd,Female,Dead
McKane,Mr Peter Daniel,46,Southampton,2nd,Male,Dead
McMahon,Mr Martin,19,Queenstown,3rd,Male,Dead
McNamee,Mr Neal,27,Southampton,3rd,Male,Dead
McNamee,Mrs Eileen,19,Southampton,3rd,Female,Dead
McNeill,Miss Bridget,32,Queenstown,3rd,Female,Dead
Meanwell,Mrs Marian,62,Southampton,3rd,Female,Dead
Meehan,Mr John,22,Queenstown,3rd,Male,Dead
Meek,Mrs Annie Louisa,31,Southampton,3rd,Female,Dead
Mellinger,Mrs Elizabeth Anne,41,Southampton,2nd,Female,Alive
Mellinger,Miss Violet Madeline,13,Southampton,2nd,Female,Alive
Mellors,Mr William John,19,Southampton,2nd,Male,Alive
Meo (Martino),Mr Alfonzo,48,Southampton,3rd,Male,Dead
Mernagh,Mr Robert,28,Queenstown,3rd,Male,Dead
Meyer,Mr August,31,Southampton,2nd,Male,Dead
Meyer,Mr Edgar Joseph,28,Cherbourg,1st,Male,Dead
Meyer,Mrs Leila,25,Cherbourg,1st,Female,Alive
Midtsjø,Mr Karl Albert,21,Southampton,3rd,Male,Alive
Mihoff,Mr Stoytcho,28,Southampton,3rd,Male,Dead
Miles,Mr Frank,23,Southampton,3rd,Male,Dead
Millet,Mr Francis Davis,65,Cherbourg,1st,Male,Dead
Milling,Mr Jacob Christian,48,Southampton,2nd,Male,Dead
Minahan,Mrs Lillian E.,37,Queenstown,1st,Female,Alive
Minahan,Miss Daisy E.,33,Queenstown,1st,Female,Alive
Minahan,Dr William Edward,44,Queenstown,1st,Female,Dead
Mineff,Mr Ivan,24,Southampton,3rd,Male,Dead
Minkoff,Mr Lazar,21,Southampton,3rd,Male,Dead
Mitchell,Mr Henry Michael,71,Southampton,2nd,Male,Dead
Mitkoff,Mr Mito,23,Southampton,3rd,Male,Dead
